DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
3,Wednesday,9AM,10AM,14MFF-0034,1760 YOSEMITE AVE,9:50am-10am,"Cold Truck: Cheeseburgers, Burgers, Chicken Bake, Chili Dogs, Hot Dogs, Corn Dogs, Cup of Noodles, Egg Muffins, Tamales, Hot Sandwiches Quesadillas, Gatorade, Juice, Soda, Mikl, Coffee, Hot Cocoa, Hot Tea, Flan, Fruits, Fruit Salad, Yogurt, Candy, Chips,  Donuts, Cookies, Granola, Muffins & Various Drinks & Pre-Packaged Snacks.",526127,,09:00,10:00,13784000,04/22/2011 10:31:47 AM,04/22/2011 10:32:05 AM,5414,020,Y,Bach Catering,6013769.2722,2093313.18776,37.7286139518831,-122.394644631904,
3,Wednesday,9AM,10AM,15MFF-0117,700 PENNSYLVANIA AVE,"9:50am-9:55am, 12:07pm-12:11pm","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages",641315,,09:00,10:00,10336000,10/24/2011 04:17:07 PM,10/24/2011 04:17:30 PM,4167,010,Y,Anas Goodies Catering,6014404.74371,2103845.96013,37.7575700580023,-122.393184466145,
3,Wednesday,9AM,10AM,15MFF-0051,2960 BROADWAY,9am-9:10am,"Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks",629914,,09:00,10:00,3185000,04/21/2011 04:44:33 PM,04/21/2011 04:44:56 PM,0957,006,Y,D & T Catering,5999458.03506,2117036.20519,37.792945427344,-122.445824652024,
3,Wednesday,10AM,2PM,15MFF-0097,231 SANSOME ST,a truck 45â north from the SW corner of Pine and Sansome (west side),"Artisan Pizzas (Margherita, Yukon Potato, Zoe's Pepperoni, Funghi, Brocolli Rabe, Bacon Kale,  Arugula) and Drinks.",633619,,10:00,14:00,11544000,02/13/2012 11:46:32 AM,02/13/2012 11:47:08 AM,0260,002,N,"Casey's Pizza, LLC",6012385.28623,2116572.60407,37.792402122272,-122.401062825164,
3,Wednesday,6AM,12AM,15MFF-0086,567 BAY ST,Bay & Taylor intersection. Located against the planter box wall in front of the cable car turn-around.,"Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",632953,,06:00,24:00,25524000,09/06/2011 03:18:29 PM,09/06/2011 03:19:02 PM,0043,001,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6008072.54766,2121331.29447,37.8052267720474,-122.416322260146,
3,Wednesday,8AM,6PM,15MFF-0044,555 MARKET ST,"Cart located approximately 8.9 feet west of crosswalk, 51.5 feet east of BART entrance, and inline with 2nd row of trees away from curb.","Chaats, vegeterian wraps, chai, soft drinks",665094,,08:00,18:00,8742101,06/12/2015 03:21:29 PM,06/12/2015 03:36:44 PM,3708,057,N,Gour Chaat,6012593.239,2115688.02838,37.7899848845733,-122.400281141766,
3,Wednesday,6AM,2PM,15MFF-0049,124 FOLSOM ST,Cart set-up at 298 Spear St in the first parking space North of Folsom Street,"Coffee, Espresso Drinks, Pastries, Water, Soda, Tea, Pre-Packaged Foods",629324,,06:00,14:00,12046000,04/14/2011 11:02:49 AM,11/02/2011 04:49:56 PM,3740,031,N,Curbside Coffee,6015201.73626,2115613.89646,37.7899264436726,-122.391250706732,
3,Wednesday,8AM,4PM,14MFF-0135,564 COMMERCIAL ST,First parking space after widened sidewalk.,Cold Brew Coffee,605159,,08:00,16:00,4313000,12/16/2014 04:03:26 PM,12/16/2014 04:03:46 PM,0228,023,N,Bicycle Coffee,6011994.26943,2117288.38955,37.7943456781451,-122.402466115735,
3,Wednesday,10AM,7PM,13MFF-0088,1717 HARRISON ST,Just North of Best Buy's curb cut,"Tacos, Burritos, Tortas, Quesadillas",428674,,10:00,19:00,6740000,03/04/2011 01:14:52 PM,10/24/2011 11:03:49 AM,3901,001,N,El Tonayanse #4 / #36,6008669.77932,2108251.24409,37.7693456875221,-122.413329888831,
3,Wednesday,8AM,9AM,15MFF-0096,1501 03RD ST,"Located at 1483 & 1501 3rd St: 8:30am-8:35am, 8:40am-8:50am","Cold truck: sandwiches, salads, beverages, chips, candy, cookies, coffee, tea, drinks",633504,,08:00,09:00,185104,10/03/2011 02:26:46 PM,10/03/2011 02:27:00 PM,8720,013,N,DO UC US Mobile Catering,6015629.43305,2108252.63358,37.7697377914123,-122.389256662556,
